ID,First Name,Last Name,Gender,Does Ski,Preffered Ski Resort,Buys Ski Pass
1,Todd,Lopez,M,no,Telluride,no
2,Joshua,White,M,yes,Breckenridge,no
3,Mary,Lewis,F,yes,Keystone,yes
4,Emily,Burns,F,no,A-Basin,no
5,Christina,Romero,F,yes,Aspen,no
6,Raymond,Andrews,M,yes,Copper Mountain,no
7,Sandra,Baker,F,yes,Aspen,no
8,Todd,Diaz,M,yes,Steamboat,no
9,Alice,Burke,F,no,Telluride,no
10,Wayne,Richards,M,yes,Keystone,yes
11,Brian,Hansen,M,no,Vail,no
12,Johnny,Tucker,M,yes,Breckenridge,yes
13,Ronald,Wheeler,M,yes,Breckenridge,yes
14,John,Turner,M,yes,Telluride,no
15,Steven,Reynolds,M,yes,A-Basin,no
16,Pamela,Carpenter,F,yes,Copper Mountain,yes
17,Stephen,Scott,M,yes,A-Basin,no
18,Larry,Ryan,M,no,Telluride,yes
19,Jeffrey,Marshall,M,no,Aspen,yes
20,Betty,Fernandez,F,yes,Vail,yes
21,Howard,Olson,M,yes,Vail,yes
22,Jose,Riley,M,yes,Copper Mountain,no
23,Tammy,Woods,F,yes,Loveland Basin,yes
24,Benjamin,Wells,M,yes,Keystone,yes
25,Stephen,Gutierrez,M,no,Aspen,no
26,Mary,Harvey,F,no,Keystone,no
27,Robin,Ruiz,F,no,Steamboat,yes
28,Larry,Lee,M,no,Loveland Basin,no
29,Billy,Welch,M,yes,Crested Butte,yes
30,Johnny,Cooper,M,no,Breckenridge,yes
31,Michael,Nichols,M,yes,A-Basin,no
32,Jennifer,Murray,F,no,Breckenridge,no
33,Ronald,Gomez,M,yes,Keystone,yes
34,Robin,Green,F,yes,Keystone,yes
35,Stephen,Jacobs,M,no,Aspen,no
36,Alice,Lewis,F,yes,Crested Butte,no
37,Richard,Griffin,M,yes,Steamboat,no
38,Mary,Perry,F,yes,Crested Butte,no
39,Margaret,Dunn,F,no,Steamboat,yes
40,Lisa,Gardner,F,no,Keystone,no
41,Margaret,Woods,F,yes,Aspen,yes
42,Samuel,Gray,M,no,Aspen,yes
43,Rebecca,Tucker,F,yes,Keystone,no
44,William,Walker,M,no,Crested Butte,no
45,Philip,Diaz,M,yes,A-Basin,no
46,Theresa,Harris,F,no,Loveland Basin,yes
47,Anthony,Lawrence,M,no,Crested Butte,yes
48,Antonio,Black,M,no,Breckenridge,no
49,Paul,Simpson,M,yes,Keystone,yes
50,Louise,Sims,F,no,Aspen,no
51,William,Weaver,M,yes,Keystone,yes
52,Jesse,Cooper,M,no,Steamboat,yes
53,Jeffrey,Carr,M,yes,A-Basin,no
54,Deborah,Owens,F,no,Steamboat,no
55,Marie,Stephens,F,no,Telluride,yes
56,Patrick,Butler,M,yes,Vail,yes
57,Evelyn,Matthews,F,no,Telluride,yes
58,Jonathan,Cox,M,no,Breckenridge,yes
59,Christina,Brooks,F,yes,Telluride,yes
60,Brian,Austin,M,no,Steamboat,yes
61,Daniel,Moore,M,yes,Breckenridge,yes
62,Larry,Tucker,M,yes,Steamboat,yes
63,Robin,Hunter,F,yes,Loveland Basin,no
64,Wayne,Cunningham,M,no,Aspen,no
65,Anthony,Lane,M,yes,Telluride,yes
66,Kevin,Montgomery,M,yes,Breckenridge,yes
67,Ashley,Vasquez,F,no,Telluride,yes
68,Benjamin,Freeman,M,no,Copper Mountain,yes
69,Doris,Hernandez,F,no,Aspen,no
70,Diana,Alexander,F,yes,Copper Mountain,no
71,Joseph,Pierce,M,yes,Vail,no
72,Nancy,Mcdonald,F,yes,Aspen,no
73,Sarah,Kelly,F,no,Steamboat,no
74,Lois,Foster,F,yes,Vail,no
75,Alice,Bell,F,no,Keystone,no
76,Amy,Reynolds,F,no,Vail,yes
77,Howard,Johnson,M,no,Steamboat,no
78,Marilyn,Ruiz,F,no,Aspen,yes
79,Joshua,Bowman,M,no,A-Basin,yes
80,Elizabeth,Porter,F,yes,Steamboat,no
81,Fred,Wood,M,no,Vail,no
82,Bobby,Reid,M,no,Aspen,no
83,Jonathan,Willis,M,no,Crested Butte,no
84,Paula,Bishop,F,no,Keystone,yes
85,Judith,Washington,F,no,Keystone,yes
86,Marilyn,Gonzales,F,yes,Copper Mountain,no
87,Theresa,Davis,F,no,Vail,no
88,Stephanie,Martinez,F,no,Aspen,yes
89,Justin,Martin,M,no,Keystone,yes
90,Stephen,Long,M,yes,Copper Mountain,no
91,Betty,Howell,F,yes,Loveland Basin,yes
92,Emily,Hawkins,F,no,Crested Butte,yes
93,Terry,Mcdonald,M,no,Crested Butte,no
94,Peter,Gomez,M,no,A-Basin,yes
95,Mary,Knight,F,yes,Crested Butte,yes
